ORIGEM	DESTINO	Faixa Et†ria	Escolaridade	Renda Familiar	Periodo do dia	Motivo	Principal Modal	Fez Integraá∆o?	Se sim, qual modal?	Tempo de Viagem	Frequància
Cear†	Viáosa	Menos de 18 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Noite (18h - 00h)	Outros	‚nibus	SIM	T†xi	Maior que 2h	Raramente
Coelho Neto	S∆o Lu°s - Zona Industrial	35 a 44 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Raramente
Coroata	S∆o Lu°s - Cohab	45 a 59 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	NAO		Entre 30 min e 1h	Diariamente
Guimar∆es 	AlcÉntara	Menos de 18 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	‚nibus	SIM	‚nibus	Maior que 2h	Raramente
Icatu	S∆o JosÇ de Ribamar	18 a 24 anos	Ensino MÇdio completo	Prefiro n∆o dizer	Madrugada (00h - 5h)	Estudo	Barco/Lancha	SIM	Transporte por aplicativo (Uber, 99)	Entre 1h30 e 2h	Raramente
Icatu	Ros†rio	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO	Carro pr¢prio	Entre 1 e 1h30	Diariamente
Icatu	Ros†rio	35 a 44 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	NAO	‚nibus	Entre 30 min e 1h	Diariamente
Icatu	Ros†rio	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	NAO	‚nibus	Entre 30 min e 1h	Diariamente
Icatu	S∆o Lu°s - Cidade Oper†ria	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	‚nibus	Maior que 2h	Diariamente
Icatu	Morros	60 anos ou mais	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO	T Alternativo - Carro (carrinho)	Entre 30 min e 1h	Raramente
Icatu	Morros	60 anos ou mais	Ensino Fundamental incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO		Entre 30 min e 1h	Raramente
Icatu	Morros	35 a 44 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO		Entre 1h30 e 2h	2 a 3 vezes ao màs
Icatu	Morros	25 a 34 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO		Entre 1 e 1h30	Semanalmente
Icatu	Morros	45 a 59 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO		Entre 1 e 1h30	Raramente
Icatu	Morros	45 a 59 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO		Entre 1 e 1h30	Raramente
Icatu	Ros†rio	35 a 44 anos	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Carro (carrinho)	NAO	T Alternativo - Carro (carrinho)	Entre 30 min e 1h	Raramente
Icatu	Ros†rio	25 a 34 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Van	NAO		Entre 1 e 1h30	Raramente
Icatu	S∆o Lu°s - Cidade Oper†ria	Menos de 18 anos	Ensino Fundamental completo	Prefiro n∆o dizer	Madrugada (00h - 5h)	Estudo	T Alternativo - Van	SIM	‚nibus	Maior que 2h	Diariamente
