Carimbo de data/hora;Qual sua faixa etária?;Qual seu nível de escolaridade?;Qual sua renda familiar mensal?;A sua última viagem intermunicipal (entre municípios) foi:;A viagem foi realizada em qual período do dia?;Qual o motivo da viagem?;Motivo Agrupado;Qual o município de ORIGEM;Qual o município de DESTINO;Qual foi o principal meio de transporte que você usou?;Modal Agrupado;Quanto tempo durou a viagem?;Com que frequência você faz essa viagem?
2025/03/14 4:46:38 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Paço do Lumiar;Carona com alguém;Carona com alguém;Entre 1 e 2 horas;Muito raramente
2025/03/14 5:00:22 PM GMT-3;60 anos ou mais;Ensino Fundamental incompleto;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Paço do Lumiar;Transporte alternativo - Van;Transporte Alternativo;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/03/14 5:48:38 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;Paço do Lumiar;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/14 6:43:15 PM GMT-3;45 a 59 anos;Ensino Médio incompleto;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Paço do Lumiar;Transporte alternativo - Van;Transporte Alternativo;Entre 1 e 2 horas;Todos os dias
2025/03/14 7:25:24 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Madrugada (00h - 5h);Estudo;Estudo;São Luís;Paço do Lumiar;Carona com alguém;Carona com alguém;Mais de 2 horas;1 a 3 vezes por mês
2025/03/14 7:55:11 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;Paço do Lumiar;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
2025/03/14 8:28:12 PM GMT-3;45 a 59 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Paço do Lumiar;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Todos os dias
2025/03/14 8:42:50 PM GMT-3;45 a 59 anos;Ensino Médio completo;Até 1 salário mínimo;;Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Paço do Lumiar;Ônibus;Ônibus;Entre 30 e 60 minutos;1 a 3 vezes por mês
2025/03/14 8:46:54 PM GMT-3;35 a 44 anos;Ensino Fundamental incompleto;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Noite (18h - 00h);Trabalho;Trabalho;São Luís;Paço do Lumiar;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Todos os dias
2025/03/14 8:51:10 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;Paço do Lumiar;Carona com alguém;Carona com alguém;Entre 15 e 30 minutos;Muito raramente
